Name;Purpose;Quantity;Total Cost (USD);Link;Distributor;;
Capacitor 2uF;Oscillation, (best price);1;4.36;https://www.aliexpress.com/item/1005009003061924.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.5.4be5BZZiBZZiM0&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=7284e082-5516-4cef-b31c-a6ed6328785f&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:7284e082-5516-4cef-b31c-a6ed6328785f,tpp_buckets:668%232846%238109%231935&pdp_ext_f=%7B%22order%22%3A%22103%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21USD%212.66%212.26%21%21%212.66%212.26%21%40211b431017740252144526920ed88a%2112000047534773323%21rec%21CZ%21%21ABX%211%210%21n_tag%3A-29910%3Bd%3A1803c9ff%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005009003061924%7C_p_origin_prod%3A;Aliexpress;;
Resistor 10KR;ZVS, Soft starter build, best offer, price 0.93;1;0.00;https://www.aliexpress.com/item/1005006363058219.html?spm=a2g0o.productlist.main.11.45e51d57BhhODY&algo_pvid=e61700af-3e94-40c6-837f-8b9eb99a6b25&algo_exp_id=e61700af-3e94-40c6-837f-8b9eb99a6b25-10&pdp_ext_f=%7B%22order%22%3A%22475%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%210.76%210.66%21%21%210.76%210.66%21%402103834817740246522776895e1674%2112000036899412422%21sea%21CZ%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A1803c9ff%3Bm03_new_user%3A-29895&curPageLogUid=xUFUBN3jZzu6&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006363058219%7C_p_origin_prod%3A;Aliexpress;;
Transistor 2N7000;Soft starter,(5PCS, 3PCS needed, best offer);1;0.94;https://www.aliexpress.com/item/1005007206189883.html?spm=a2g0o.productlist.main.10.52b815e34eyS3k&algo_pvid=1b9e943d-a183-49b7-ac1c-45ea658339a3&algo_exp_id=1b9e943d-a183-49b7-ac1c-45ea658339a3-48&pdp_ext_f=%7B%22order%22%3A%2225%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%210.94%210.94%21%21%210.94%210.94%21%40211b629217740244743261900e83ca%2112000039805368214%21sea%21CZ%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A1803c9ff%3Bm03_new_user%3A-29895&curPageLogUid=WkHDqQGZD8lz&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007206189883%7C_p_origin_prod%3A;Aliexpress;;
Inductors;Inductors, (2PCS);1;5.16;https://www.aliexpress.com/item/1005009049853632.html?spm=a2g0o.productlist.main.31.774bojbOojbOFw&algo_pvid=b89a5244-83fa-4ea0-8365-d1b630e0f499&algo_exp_id=b89a5244-83fa-4ea0-8365-d1b630e0f499-30&pdp_ext_f=%7B%22order%22%3A%22147%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.02%214.32%21%21%2134.38%2129.57%21%40210384b217740241582097454e3e8a%2112000047712666401%21sea%21CZ%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A1803c9ff%3Bm03_new_user%3A-29895&curPageLogUid=ZMnsTrP83ZAj&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009049853632%7C_p_origin_prod%3A;Aliexpress;;
Heatsink;Mosfet cooling (2pc set);1;4.80;https://www.aliexpress.com/item/1005002711238683.html?spm=a2g0o.productlist.main.50.477a4914euPoik&algo_pvid=c910c5e1-95dc-480b-b3f9-444ed5662ba6&algo_exp_id=c910c5e1-95dc-480b-b3f9-444ed5662ba6-49&pdp_ext_f=%7B%22order%22%3A%22145%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.88%211.88%21%21%213.88%211.88%21%40211b813b17739477792101402edb6e%2112000021815358235%21sea%21CZ%210%21ABXZ%211%210%21n_tag%3A-29910%3Bd%3A1803c9ff%3Bm03_new_user%3A-29895%3BpisId%3A5000000200562567&curPageLogUid=QgMZjcoePbgO&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002711238683%7C_p_origin_prod%3A;Aliexpress;;
Mosfet IRFB7730;ZVS switching, 2 pcs needed, best offer;1;5,28;https://www.aliexpress.com/item/1005011844869795.html?spm=a2g0o.productlist.main.6.331aK3nTK3nTPQ&algo_pvid=cbc9dd74-dd5a-4a77-907d-66a1834d7ddf&algo_exp_id=cbc9dd74-dd5a-4a77-907d-66a1834d7ddf-5&pdp_ext_f=%7B%22order%22%3A%22-1%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.54%214.54%21%21%2131.23%2131.23%21%40210388c917747806068723055e2327%2112000056762259380%21sea%21CZ%216063877758%21X%211%210%21n_tag%3A-29919%3Bd%3A1803c9ff%3Bm03_new_user%3A-29895&curPageLogUid=CfFBsAtcuWCR&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011844869795%7C_p_origin_prod%3A;Aliexpress;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
